stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
StopPoint:GNRA6,"Gréneraie",,47.19939927,-1.53288247,,,0,StopArea:GNRA,1
StopPoint:GNRA7,"Gréneraie",,47.19910759,-1.53352211,,,0,StopArea:GNRA,1
StopPoint:GOBI2,"Gobinière",,47.25017483,-1.58682125,,,0,StopArea:GOBI,1
StopPoint:GOBI3,"Gobinière",,47.24944261,-1.58716434,,,0,StopArea:GOBI,1
StopPoint:GOCH1,"Grande Ouche",,47.21124312,-1.46659534,,,0,StopArea:GOCH,2
StopPoint:GOCH2,"Grande Ouche",,47.21123877,-1.46672720,,,0,StopArea:GOCH,2
StopPoint:GOLF1,"Golf",,47.23649968,-1.60486096,,,0,StopArea:GOLF,2
StopPoint:GOLF2,"Golf",,47.23624819,-1.60431345,,,0,StopArea:GOLF,2
StopPoint:GONI1,"Gournière",,47.26846441,-1.54939421,,,0,StopArea:GONI,1
StopPoint:GONI2,"Gournière",,47.26828472,-1.54938114,,,0,StopArea:GONI,1
StopPoint:GPOR1,"Grand Portail",,47.20234535,-1.52291972,,,0,StopArea:GPOR,1
StopPoint:GPOR2,"Grand Portail",,47.20142037,-1.52364591,,,0,StopArea:GPOR,1
StopPoint:GPRO1,"Gare de Pont-Rousseau",,47.19291054,-1.54881475,,,0,StopArea:GPRO,1
StopPoint:GPRO2,"Gare de Pont-Rousseau",,47.19307781,-1.54927614,,,0,StopArea:GPRO,1
StopPoint:GRAM1,"Grammoire",,47.18357282,-1.47268780,,,0,StopArea:GRAM,2
StopPoint:GRAM2,"Grammoire",,47.18364959,-1.47308957,,,0,StopArea:GRAM,2
StopPoint:GRCH1,"Grand chemin",,47.19735309,-1.78408692,,,0,StopArea:GRCH,1
StopPoint:GRCH2,"Grand chemin",,47.19727269,-1.78381640,,,0,StopArea:GRCH,1
